Property ID,Status,Type,Date,Property Name,Address,Units,sf,Yr Built,Price ($),Cap Rate,Latitude,Longitude,Noi,CashFlow,time_diff
25586,Sale,Apartment,2003/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1456000.0000000002,-20800000.0,0.0
25586,Sale,Apartment,2004/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1516994.594594595,1516994.594594595,1.0
25586,Sale,Apartment,2005/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1592844.3243243247,1592844.3243243247,1.0
25586,Sale,Apartment,2006/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1629562.9043308375,1629562.9043308375,1.0
25586,Sale,Apartment,2007/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1703482.7201199578,1703482.7201199578,1.0
25586,Sale,Apartment,2008/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1782783.0139403907,1782783.0139403907,1.0
25586,Sale,Apartment,2009/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1797351.0560474892,1797351.0560474892,1.0
25586,Sale,Apartment,2010/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1836392.8929147606,1836392.8929147606,1.0
25586,Sale,Apartment,2011/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1919493.3426607524,1919493.3426607524,1.0
25586,Sale,Apartment,2012/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,1980194.3175131422,1980194.3175131422,1.0
25586,Sale,Apartment,2013/10/15,Rock Ridge,10333 N Oracle Rd,319,319365,1996,20800000.0,7.000000000000001,32.3956075,-110.9628518,2019077.664708457,2019077.664708457,1.0
1421583,Sale,Apartment,2014/10/10,Rock Ridge Apartments,10333 N Oracle Rd,319,319365,1996,30400000.0,5.5579353,32.3956075,-110.9628518,2044477.245613935,31836477.245613936,0.9863013698630136
